epoch 1/30, loss= 4.7961e-04, time= 77.2549 
epoch 2/30, loss= 4.7653e-04, time= 77.0322 
epoch 3/30, loss= 4.7098e-04, time= 76.8605 
epoch 4/30, loss= 4.4332e-04, time= 76.7692 
epoch 5/30, loss= 4.0188e-04, time= 76.8643 
epoch 6/30, loss= 3.7466e-04, time= 77.0440 
epoch 7/30, loss= 3.3678e-04, time= 76.9539 
epoch 8/30, loss= 3.0170e-04, time= 77.0241 
epoch 9/30, loss= 2.7317e-04, time= 76.9333 
epoch 10/30, loss= 2.4651e-04, time= 77.0150 
epoch 11/30, loss= 2.2380e-04, time= 77.3220 
epoch 12/30, loss= 2.1165e-04, time= 77.0864 
epoch 13/30, loss= 1.9622e-04, time= 77.2883 
epoch 14/30, loss= 1.9206e-04, time= 77.3550 
epoch 15/30, loss= 1.8395e-04, time= 76.9930 
epoch 16/30, loss= 1.7616e-04, time= 77.2093 
epoch 17/30, loss= 1.6645e-04, time= 77.0981 
epoch 18/30, loss= 1.6905e-04, time= 77.0373 
epoch 19/30, loss= 1.6133e-04, time= 77.1082 
epoch 20/30, loss= 1.5997e-04, time= 77.3471 
epoch 21/30, loss= 1.5274e-04, time= 77.0376 
epoch 22/30, loss= 1.5135e-04, time= 77.0265 
epoch 23/30, loss= 1.4875e-04, time= 76.9446 
epoch 24/30, loss= 1.4580e-04, time= 77.2895 
epoch 25/30, loss= 1.5021e-04, time= 76.9698 
epoch 26/30, loss= 1.4697e-04, time= 77.3606 
epoch 27/30, loss= 1.4016e-04, time= 77.1980 
epoch 28/30, loss= 1.3712e-04, time= 77.0516 
epoch 29/30, loss= 1.4109e-04, time= 77.1393 
epoch 30/30, loss= 1.3736e-04, time= 77.1658 

