epoch 1/30, loss= 4.5245e-04, time= 37.9790 
epoch 2/30, loss= 3.0275e-04, time= 38.5561 
epoch 3/30, loss= 2.2074e-04, time= 37.7458 
epoch 4/30, loss= 1.8936e-04, time= 38.4871 
epoch 5/30, loss= 1.6766e-04, time= 37.8731 
epoch 6/30, loss= 1.5605e-04, time= 38.1955 
epoch 7/30, loss= 1.4730e-04, time= 37.9629 
epoch 8/30, loss= 1.4203e-04, time= 37.8907 
epoch 9/30, loss= 1.3690e-04, time= 38.2817 
epoch 10/30, loss= 1.3410e-04, time= 37.9353 
epoch 11/30, loss= 1.3000e-04, time= 38.4847 
epoch 12/30, loss= 1.2877e-04, time= 37.7650 
epoch 13/30, loss= 1.2440e-04, time= 38.5192 
epoch 14/30, loss= 1.2315e-04, time= 37.9873 
epoch 15/30, loss= 1.2081e-04, time= 37.8094 
epoch 16/30, loss= 1.1860e-04, time= 38.3383 
epoch 17/30, loss= 1.1733e-04, time= 37.9053 
epoch 18/30, loss= 1.1528e-04, time= 38.2514 
epoch 19/30, loss= 1.1789e-04, time= 37.9317 
epoch 20/30, loss= 1.1326e-04, time= 38.5097 
epoch 21/30, loss= 1.1282e-04, time= 37.6337 
epoch 22/30, loss= 1.1105e-04, time= 38.2125 
epoch 23/30, loss= 1.1042e-04, time= 38.3102 
epoch 24/30, loss= 1.0859e-04, time= 37.6811 
epoch 25/30, loss= 1.1083e-04, time= 38.4945 
epoch 26/30, loss= 1.0699e-04, time= 37.9774 
epoch 27/30, loss= 1.0565e-04, time= 38.2572 
epoch 28/30, loss= 1.0524e-04, time= 37.8955 
epoch 29/30, loss= 1.0441e-04, time= 38.2306 
epoch 30/30, loss= 1.0794e-04, time= 38.0333 

